no	n o |
brote	b r o t e |
extienda	e x t i e n d a |
pasillo	p a s i l l o |
vacío	v a c í o |
inmenso	i n m e n s o |
navegamos	n a v e g a m o s |
cuevas	c u e v a s |
arrecifes	a r r e c i f e s |
sonda	s o n d a |
alargar	a l a r g a r |
preguntarle	p r e g u n t a r l e |
taxistas	t a x i s t a s |
accesos	a c c e s o s |
sujetamos	s u j e t a m o s |
evitaremos	e v i t a r e m o s |
estrellarnos	e s t r e l l a r n o s |
longitudinales	l o n g i t u d i n a l e s |
ahórratelo	a h ó r r a t e l o |
sujetas	s u j e t a s |
cubiertas	c u b i e r t a s |
anillos	a n i l l o s |
enanas	e n a n a s |
morenas	m o r e n a s |
prisioneras	p r i s i o n e r a s |
pronóstico	p r o n ó s t i c o |
soleado	s o l e a d o |
suelto	s u e l t o |
velados	v e l a d o s |
libertarme	l i b e r t a r m e |
suplicio	s u p l i c i o |
extendiendo	e x t e n d i e n d o |
echándose	e c h á n d o s e |
dejale	d e j a l e |
toco	t o c o |
masa	m a s a |
dadas	d a d a s |
envolvíale	e n v o l v í a l e |
flotante	f l o t a n t e |
alquicel	a l q u i c e l |
morisco	m o r i s c o |
cancelada	c a n c e l a d a |
congelados	c o n g e l a d o s |
sientes	s i e n t e s |
detendrían	d e t e n d r í a n |
registré	r e g i s t r é |
bolsillos	b o l s i l l o s |
cansarme	c a n s a r m e |
resuelvo	r e s u e l v o |
contestarle	c o n t e s t a r l e |
plazca	p l a z c a |
cántaro	c á n t a r o |
dibujan	d i b u j a n |
precoces	p r e c o c e s |
lanzarles	l a n z a r l e s |
asirlo	a s i r l o |
almohada	a l m o h a d a |
verlas	v e r l a s |
juraría	j u r a r í a |
alargó	a l a r g ó |
marinero	m a r i n e r o |
reflexionando	r e f l e x i o n a n d o |
peores	p e o r e s |
ofrezco	o f r e z c o |
voluntario	v o l u n t a r i o |
entierran	e n t i e r r a n |
reventar	r e v e n t a r |
dispersaron	d i s p e r s a r o n |
escolta	e s c o l t a |
siguió	s i g u i ó |
matamos	m a t a m o s |
estuviste	e s t u v i s t e |
pillada	p i l l a d a |
abrí	a b r í |
hundidos	h u n d i d o s |
lechuga	l e c h u g a |
aires	a i r e s |
sacarme	s a c a r m e |
rendijas	r e n d i j a s |
ordenar	o r d e n a r |
dese	d e s e |
vano	v a n o |
habrían	h a b r í a n |
retardado	r e t a r d a d o |
marea	m a r e a |
lunas	l u n a s |
coches	c o c h e s |
sufrido	s u f r i d o |
etapas	e t a p a s |
tour	t o u r |
orgullosa	o r g u l l o s a |
curiosa	c u r i o s a |
pensáis	p e n s á i s |
entraban	e n t r a b a n |
salían	s a l í a n |
parábanse	p a r á b a n s e |
carlos	c a r l o s |
entrenamos	e n t r e n a m o s |
pálido	p á l i d o |
mudo	m u d o |
volviéndome	v o l v i é n d o m e |
lámpara	l á m p a r a |
caerás	c a e r á s |
refrenamos	r e f r e n a m o s |
relinchaban	r e l i n c h a b a n |
crines	c r i n e s |
niegas	n i e g a s |
cierres	c i e r r e s |
estantería	e s t a n t e r í a |
teclear	t e c l e a r |
dias	d i a s |
computador	c o m p u t a d o r |
ternero	t e r n e r o |
llegan	l l e g a n |
andalucía	a n d a l u c í a |
mirarte	m i r a r t e |
tiemble	t i e m b l e |
pulso	p u l s o |
respondió	r e s p o n d i ó |
guardarás	g u a r d a r á s |
entienden	e n t i e n d e n |
mariposa	m a r i p o s a |
nocturna	n o c t u r n a |
rozándome	r o z á n d o m e |
palidecido	p a l i d e c i d o |
tornándose	t o r n á n d o s e |
cerré	c e r r é |
esperé	e s p e r é |
quejas	q u e j a s |
denuestos	d e n u e s t o s |
vasto	v a s t o |
sombrío	s o m b r í o |
atavío	a t a v í o |
estallara	e s t a l l a r a |
sien	s i e n |
sesión	s e s i ó n |
dolorosa	d o l o r o s a |
altivez	a l t i v e z |
dominarme	d o m i n a r m e |
bribones	b r i b o n e s |
sacará	s a c a r á |
barranco	b a r r a n c o |
rezaban	r e z a b a n |
crean	c r e a n |
tope	t o p e |
feto	f e t o |
inquietud	i n q u i e t u d |
temblaba	t e m b l a b a |
sacudiendo	s a c u d i e n d o |
crin	c r i n |
compañía	c o m p a ñ í a |
comprada	c o m p r a d a |
subasta	s u b a s t a |
acabado	a c a b a d o |
incidentes	i n c i d e n t e s |
meditó	m e d i t ó |
tardío	t a r d í o |
enamorados	e n a m o r a d o s |
averiado	a v e r i a d o |
relativamente	r e l a t i v a m e n t e |
tendría	t e n d r í a |
desesperarse	d e s e s p e r a r s e |
vendré	v e n d r é |
lamento	l a m e n t o |
guajiras	g u a j i r a s |
expiraba	e x p i r a b a |
herraduras	h e r r a d u r a s |
chiflar	c h i f l a r |
pesada	p e s a d a |
escuche	e s c u c h e |
aprendido	a p r e n d i d o |
hayan	h a y a n |
reparo	r e p a r o |
comerse	c o m e r s e |
niñas	n i ñ a s |
pequeñas	p e q u e ñ a s |
tenaces	t e n a c e s |
pegamos	p e g a m o s |
echamos	e c h a m o s |
paracetamol	p a r a c e t a m o l |
harías	h a r í a s |
sienta	s i e n t a |
tarea	t a r e a |
resistes	r e s i s t e s |
orilla	o r i l l a |
tendida	t e n d i d a |
corriendo	c o r r i e n d o |
caracoleando	c a r a c o l e a n d o |
marees	m a r e e s |
cuca	c u c a |
aplazada	a p l a z a d a |
ey	e y |
echarás	e c h a r á s |
vistazo	v i s t a z o |
che	c h e |
moreno	m o r e n o |
yerno	y e r n o |
informático	i n f o r m á t i c o |
ingeniera	i n g e n i e r a |
incumplan	i n c u m p l a n |
transmite	t r a n s m i t e |
boqueando	b o q u e a n d o |
desactiva	d e s a c t i v a |
prendarme	p r e n d a r m e |
acordar	a c o r d a r |
agobiando	a g o b i a n d o |
relaja	r e l a j a |
pintando	p i n t a n d o |
mandalas	m a n d a l a s |
absolverme	a b s o l v e r m e |
acerqué	a c e r q u é |
silbidos	s i l b i d o s |
contestados	c o n t e s t a d o s |
encontrarse	e n c o n t r a r s e |
gata	g a t a |
perdóneme	p e r d ó n e m e |
romper	r o m p e r |
monedas	m o n e d a s |
guaje	g u a j e |
tengas	t e n g a s |
éxito	é x i t o |
aprovechado	a p r o v e c h a d o |
lealtad	l e a l t a d |
legendaria	l e g e n d a r i a |
matadlo	m a t a d l o |
magnífica	m a g n í f i c a |
aventurero	a v e n t u r e r o |
oculares	o c u l a r e s |
escorar	e s c o r a r |
inquieto	i n q u i e t o |
lucha	l u c h a |
supieses	s u p i e s e s |
interior	i n t e r i o r |
ferrero	f e r r e r o |
rocher	r o c h e r |
cambiarlo	c a m b i a r l o |
confinadas	c o n f i n a d a s |
barcaza	b a r c a z a |
barridos	b a r r i d o s |
buscarla	b u s c a r l a |
raptor	r a p t o r |
heroicos	h e r o i c o s |
lanzándome	l a n z á n d o m e |
faltaba	f a l t a b a |
ectoplasmas	e c t o p l a s m a s |
dormitorio	d o r m i t o r i o |
tomes	t o m e s |
usado	u s a d o |
escondernos	e s c o n d e r n o s |
caviloso	c a v i l o s o |
manoseando	m a n o s e a n d o |
aislado	a i s l a d o |
sentirá	s e n t i r á |
pobrecita	p o b r e c i t a |
dispara	d i s p a r a |
paraliza	p a r a l i z a |
mecanismo	m e c a n i s m o |
evocación	e v o c a c i ó n |
verbenas	v e r b e n a s |
novelas	n o v e l a s |
simulé	s i m u l é |
advertirlo	a d v e r t i r l o |
huyendo	h u y e n d o |
mostrarme	m o s t r a r m e |
mortales	m o r t a l e s |
ola	o l a |
enmudecido	e n m u d e c i d o |
desvanecían	d e s v a n e c í a n |
concluir	c o n c l u i r |
reclinada	r e c l i n a d a |
sierra	s i e r r a |
pàndols	p à n d o l s |
testigo	t e s t i g o |
salvado	s a l v a d o |
exámetro	e x á m e t r o |
oportuno	o p o r t u n o |
enfrente	e n f r e n t e |
desiertos	d e s i e r t o s |
rodean	r o d e a n |
entristecido	e n t r i s t e c i d o |
zapatero	z a p a t e r o |
zapatos	z a p a t o s |
ráfagas	r á f a g a s |
venidas	v e n i d a s |
selvas	s e l v a s |
vírgenes	v í r g e n e s |
tibias	t i b i a s |
acariciadoras	a c a r i c i a d o r a s |
cambió	c a m b i ó |
burlona	b u r l o n a |
desposorios	d e s p o s o r i o s |
harry	h a r r y |
potter	p o t t e r |
voto	v o t o |
creaste	c r e a s t e |
decidido	d e c i d i d o |
organizar	o r g a n i z a r |
tele	t e l e |
famosos	f a m o s o s |
lujoso	l u j o s o |
afirmé	a f i r m é |
quevedos	q u e v e d o s |
requerí	r e q u e r í |
compás	c o m p á s |
mandato	m a n d a t o |
corrieron	c o r r i e r o n |
buscarme	b u s c a r m e |
núbiles	n ú b i l e s |
azafatas	a z a f a t a s |
dormimos	d o r m i m o s |
gustó	g u s t ó |
sacado	s a c a d o |
inesperado	i n e s p e r a d o |
gritarle	g r i t a r l e |
suspiraba	s u s p i r a b a |
vividos	v i v i d o s |
compró	c o m p r ó |
zara	z a r a |
cueva	c u e v a |
murciélagos	m u r c i é l a g o s |
prepares	p r e p a r e s |
carcajadas	c a r c a j a d a s |
consideración	c o n s i d e r a c i ó n |
abarca	a b a r c a |
ivan	i v a n |
pérez	p é r e z |
faraona	f a r a o n a |
practicaba	p r a c t i c a b a |
narrativa	n a r r a t i v a |
perdidas	p e r d i d a s |
vencen	v e n c e n |
señales	s e ñ a l e s |
calmar	c a l m a r |
impaciencia	i m p a c i e n c i a |
doblar	d o b l a r |
sacrificios	s a c r i f i c i o s |
temes	t e m e s |
abandono	a b a n d o n o |
disfraces	d i s f r a c e s |
castelar	c a s t e l a r |
breviario	b r e v i a r i o |
embarcaremos	e m b a r c a r e m o s |
envolver	e n v o l v e r |
suficientemente	s u f i c i e n t e m e n t e |
bajan	b a j a n |
aprueba	a p r u e b a |
numerosa	n u m e r o s a |
gilipollas	g i l i p o l l a s |
ducharme	d u c h a r m e |
arriesgo	a r r i e s g o |
dejes	d e j e s |
font	f o n t |
vella	v e l l a |
sena	s e n a |
arrastrados	a r r a s t r a d o s |
fieles	f i e l e s |
tornamos	t o r n a m o s |
serenata	s e r e n a t a |
empecemos	e m p e c e m o s |
enlaces	e n l a c e s |
acordados	a c o r d a d o s |
alternativa	a l t e r n a t i v a |
prometemos	p r o m e t e m o s |
ahorren	a h o r r e n |
mossos	m o s s o s |
cruzábamos	c r u z á b a m o s |
arenosa	a r e n o s a |
sabana	s a b a n a |
lejanía	l e j a n í a |
lago	l a g o |
gintonics	g i n t o n i c s |
patinaba	p a t i n a b a |
neurona	n e u r o n a |
sudamericano	s u d a m e r i c a n o |
percibíase	p e r c i b í a s e |
voluptuosos	v o l u p t u o s o s |
ruano	r u a n o |
montaba	m o n t a b a |
desenclavada	d e s e n c l a v a d a |
herradura	h e r r a d u r a |
aburridos	a b u r r i d o s |
desayunos	d e s a y u n o s |
parecéis	p a r e c é i s |
muchísimo	m u c h í s i m o |
entornados	e n t o r n a d o s |
palpitantes	p a l p i t a n t e s |
sonriente	s o n r i e n t e |
presuroso	p r e s u r o s o |
estribo	e s t r i b o |
rehusé	r e h u s é |
apearme	a p e a r m e |
belfo	b e l f o |
habitada	h a b i t a d a |
sindicatos	s i n d i c a t o s |
afiliados	a f i l i a d o s |
gritado	g r i t a d o |
contadas	c o n t a d a s |
mirándome	m i r á n d o m e |
temblorosos	t e m b l o r o s o s |
entreabierta	e n t r e a b i e r t a |
despertador	d e s p e r t a d o r |
ofició	o f i c i ó |
descargo	d e s c a r g o |
serví	s e r v í |
acólito	a c ó l i t o |
repuse	r e p u s e |
galante	g a l a n t e |
paternal	p a t e r n a l |
ranchito	r a n c h i t o |
huaxila	h u a x i l a |
musita	m u s i t a |
apretando	a p r e t a n d o |
elefancíacos	e l e f a n c í a c o s |
descubierto	d e s c u b i e r t o |
tiburón	t i b u r ó n |
intergaláctica	i n t e r g a l á c t i c a |
requisar	r e q u i s a r |
preescolar	p r e e s c o l a r |
hotel	h o t e l |
entrañable	e n t r a ñ a b l e |
abrazó	a b r a z ó |
ternura	t e r n u r a |
nieta	n i e t a |
absoluto	a b s o l u t o |
hurtar	h u r t a r |
setecientos	s e t e c i e n t o s |
doblones	d o b l o n e s |
c	c |
descansé	d e s c a n s é |
bohío	b o h í o |
levantado	l e v a n t a d o |
pupilas	p u p i l a s |
brillaron	b r i l l a r o n |
enfoscadas	e n f o s c a d a s |
cejas	c e j a s |
grises	g r i s e s |
cruel	c r u e l |
incertidumbre	i n c e r t i d u m b r e |
duerma	d u e r m a |
dirían	d i r í a n |
caminante	c a m i n a n t e |
demandase	d e m a n d a s e |
serle	s e r l e |
concedida	c o n c e d i d a |
perdonarte	p e r d o n a r t e |
demostrarlo	d e m o s t r a r l o |
raudas	r a u d a s |
quiméricas	q u i m é r i c a s |
esencia	e s e n c i a |
deliciosa	d e l i c i o s a |
divina	d i v i n a |
llevaré	l l e v a r é |
recado	r e c a d o |
actualizada	a c t u a l i z a d a |
aviones	a v i o n e s |
guardan	g u a r d a n |
vos	v o s |
rogarle	r o g a r l e |
alejóse	a l e j ó s e |
llamándome	l l a m á n d o m e |
decadentismos	d e c a d e n t i s m o s |
relampagueaba	r e l a m p a g u e a b a |
guille	g u i l l e |
duela	d u e l a |
avisas	a v i s a s |
pinchazo	p i n c h a z o |
formentera	f o r m e n t e r a |
hippy	h i p p y |
subida	s u b i d a |
ermita	e r m i t a |
rodillas	r o d i l l a s |
aprecia	a p r e c i a |
resucitar	r e s u c i t a r |
crea	c r e a |
envuelto	e n v u e l t o |
bíblica	b í b l i c a |
sospeches	s o s p e c h e s |
obligarle	o b l i g a r l e |
pregunten	p r e g u n t e n |
tí	t í |
trémulas	t r é m u l a s |
calcé	c a l c é |
espolín	e s p o l í n |
refrenaron	r e f r e n a r o n |
ate	a t e |
mirad	m i r a d |
empezado	e m p e z a d o |
halló	h a l l ó |
contemplarse	c o n t e m p l a r s e |
verduras	v e r d u r a s |
mirábame	m i r á b a m e |
arremolinándomelos	a r r e m o l i n á n d o m e l o s |
embragar	e m b r a g a r |
preguntar	p r e g u n t a r |
babor	b a b o r |
camellos	c a m e l l o s |
cierre	c i e r r e |
comprendes	c o m p r e n d e s |
notaba	n o t a b a |
separes	s e p a r e s |
regalarte	r e g a l a r t e |
medir	m e d i r |
remedir	r e m e d i r |
arrepentir	a r r e p e n t i r |
rechinó	r e c h i n ó |
largamente	l a r g a m e n t e |
tanta	t a n t a |
cogiendo	c o g i e n d o |
motivos	m o t i v o s |
soporto	s o p o r t o |
patíbulo	p a t í b u l o |
pasábame	p a s á b a m e |
borrarse	b o r r a r s e |
actuación	a c t u a c i ó n |
tomará	t o m a r á |
radios	r a d i o s |
resistentes	r e s i s t e n t e s |
perspectiva	p e r s p e c t i v a |
canciones	c a n c i o n e s |
pista	p i s t a |
consumen	c o n s u m e n |
medicamentos	m e d i c a m e n t o s |
precioso	p r e c i o s o |
palpitante	p a l p i t a n t e |
refugiaba	r e f u g i a b a |
aclara	a c l a r a |
descollaba	d e s c o l l a b a |
techumbres	t e c h u m b r e s |
palma	p a l m a |
traigo	t r a i g o |
cubo	c u b o |
oyéndola	o y é n d o l a |
señoreaban	s e ñ o r e a b a n |
cuadrillas	c u a d r i l l a s |
fingiéndome	f i n g i é n d o m e |
deslumbrado	d e s l u m b r a d o |
sujetad	s u j e t a d |
esposo	e s p o s o |
copo	c o p o |
asa	a s a |
conejos	c o n e j o s |
religiosa	r e l i g i o s a |
verdades	v e r d a d e s |
montada	m o n t a d a |
paraguas	p a r a g u a s |
textos	t e x t o s |
retozaba	r e t o z a b a |
surtidor	s u r t i d o r |
caía	c a í a |
desbordante	d e s b o r d a n t e |
pilón	p i l ó n |
icen	i c e n |
ladrador	l a d r a d o r |
mordedor	m o r d e d o r |
demonios	d e m o n i o s |
cuactemocín	c u a c t e m o c í n |
alcanzo	a l c a n z o |
peor	p e o r |
vivan	v i v a n |
acabamos	a c a b a m o s |
sacudidos	s a c u d i d o s |
desgreñados	d e s g r e ñ a d o s |
pagar	p a g a r |
pantalones	p a n t a l o n e s |
desgarrados	d e s g a r r a d o s |
salamanca	s a l a m a n c a |
prestó	p r e s t ó |
asesinar	a s e s i n a r |
fring	f r i n g |
chileno	c h i l e n o |
azahar	a z a h a r |
encontrándola	e n c o n t r á n d o l a |
revolvió	r e v o l v i ó |
denuedo	d e n u e d o |
recogiendo	r e c o g i e n d o |
colación	c o l a c i ó n |
estructura	e s t r u c t u r a |
respondimos	r e s p o n d i m o s |
romance	r o m a n c e |
veis	v e i s |
compromiso	c o m p r o m i s o |
florecían	f l o r e c í a n |
pregonando	p r e g o n a n d o |
femeniles	f e m e n i l e s |
abanicos	a b a n i c o s |
sándalo	s á n d a l o |
bastones	b a s t o n e s |
carey	c a r e y |
llovido	l l o v i d o |
cuidarte	c u i d a r t e |
protegerte	p r o t e g e r t e |
concluía	c o n c l u í a |
amarillentos	a m a r i l l e n t o s |
cera	c e r a |
arrastraban	a r r a s t r a b a n |
chinelas	c h i n e l a s |
gentío	g e n t í o |
soltaremos	s o l t a r e m o s |
regrese	r e g r e s e |
alza	a l z a |
puño	p u ñ o |
pagana	p a g a n a |
majos	m a j o s |
junquera	j u n q u e r a |
virar	v i r a r |
grasa	g r a s a |
aseguren	a s e g u r e n |
mosquetones	m o s q u e t o n e s |
sirve	s i r v e |
problemas	p r o b l e m a s |
trajo	t r a j o |
bach	b a c h |
juntaba	j u n t a b a |
oí	o í |
rasando	r a s a n d o |
pasaban	p a s a b a n |
buitres	b u i t r e s |
tardo	t a r d o |
pulsante	p u l s a n t e |
vosotros	v o s o t r o s |
ensayo	e n s a y o |
quitarme	q u i t a r m e |
maquillaje	m a q u i l l a j e |
herencia	h e r e n c i a |
virreyes	v i r r e y e s |
tlacotalpan	t l a c o t a l p a n |
pregunte	p r e g u n t e |
dirán	d i r á n |
despejado	d e s p e j a d o |
fumó	f u m ó |
puros	p u r o s |
bombear	b o m b e a r |
compuerta	c o m p u e r t a |
encendí	e n c e n d í |
bujía	b u j í a |
vidriera	v i d r i e r a |
decepción	d e c e p c i ó n |
epidemia	e p i d e m i a |
soltaran	s o l t a r a n |
volvieran	v o l v i e r a n |
fijarse	f i j a r s e |
penas	p e n a s |
impresionante	i m p r e s i o n a n t e |
extensión	e x t e n s i ó n |
llovía	l l o v í a |
menudas	m e n u d a s |
irisadas	i r i s a d a s |
gotas	g o t a s |
tazón	t a z ó n |
alabastro	a l a b a s t r o |
extendidos	e x t e n d i d o s |
echarse	e c h a r s e |
buceando	b u c e a n d o |
cachitos	c a c h i t o s |
boleo	b o l e o |
políticas	p o l í t i c a s |
públicas	p ú b l i c a s |
imaginativas	i m a g i n a t i v a s |
guapos	g u a p o s |
ternuras	t e r n u r a s |
delicadezas	d e l i c a d e z a s |
conmovían	c o n m o v í a n |
prioridad	p r i o r i d a d |
garantizar	g a r a n t i z a r |
ciudadanos	c i u d a d a n o s |
perdonan	p e r d o n a n |
mercantes	m e r c a n t e s |
pesqueros	p e s q u e r o s |
femenina	f e m e n i n a |
grita	g r i t a |
vais	v a i s |
cordel	c o r d e l |
recibe	r e c i b e |
necesitar	n e c e s i t a r |
eche	e c h e |
chorros	c h o r r o s |
sorbos	s o r b o s |
perfume	p e r f u m e |
fresas	f r e s a s |
benévola	b e n é v o l a |
nuria	n u r i a |
fuma	f u m a |
farias	f a r i a s |
recomiendan	r e c o m i e n d a n |
congreso	c o n g r e s o |
perchas	p e r c h a s |
banco	b a n c o |
lleida	l l e i d a |
medula	m e d u l a |
acero	a c e r o |
pinocho	p i n o c h o |
meditarlo	m e d i t a r l o |
resolví	r e s o l v í |
atravesar	a t r a v e s a r |
estudiado	e s t u d i a d o |
medicina	m e d i c i n a |
duelos	d u e l o s |
divertidos	d i v e r t i d o s |
ataca	a t a c a |
parpadear	p a r p a d e a r |
vinito	v i n i t o |
detiene	d e t i e n e |
pabellón	p a b e l l ó n |
forman	f o r m a n |
jactancia	j a c t a n c i a |
intentado	i n t e n t a d o |
maneras	m a n e r a s |
exclamé	e x c l a m é |
poderme	p o d e r m e |
contener	c o n t e n e r |
quisiese	q u i s i e s e |
confiese	c o n f i e s e |
petrificación	p e t r i f i c a c i ó n |
tratarse	t r a t a r s e |
continuado	c o n t i n u a d o |
asustadizo	a s u s t a d i z o |
batir	b a t i r |
oscureciendo	o s c u r e c i e n d o |
vuelvan	v u e l v a n |
show	s h o w |
clavado	c l a v a d o |
divisa	d i v i s a |
convivencia	c o n v i v e n c i a |
ninfa	n i n f a |
sostenía	s o s t e n í a |
levemente	l e v e m e n t e |
alzada	a l z a d a |
sorbido	s o r b i d o |
taquilla	t a q u i l l a |
descubro	d e s c u b r o |
panes	p a n e s |
lleve	l l e v e |
resfriado	r e s f r i a d o |
acondicionado	a c o n d i c i o n a d o |
sargento	s a r g e n t o |
establezca	e s t a b l e z c a |
regalar	r e g a l a r |
establo	e s t a b l o |
repuso	r e p u s o |
teñían	t e ñ í a n |
emociones	e m o c i o n e s |
marchamos	m a r c h a m o s |
flaca	f l a c a |
estremecía	e s t r e m e c í a |
brújula	b r ú j u l a |
señalaba	s e ñ a l a b a |
sugestivo	s u g e s t i v o |
coco	c o c o |
lilí	l i l í |
aborrecida	a b o r r e c i d a |
luminosos	l u m i n o s o s |
abre	a b r e |
astuta	a s t u t a |
maleante	m a l e a n t e |
lacia	l a c i a |
greña	g r e ñ a |
tajadas	t a j a d a s |
creció	c r e c i ó |
encargó	e n c a r g ó |
allanar	a l l a n a r |
conducían	c o n d u c í a n |
numerosos	n u m e r o s o s |
rebaños	r e b a ñ o s |
poseen	p o s e e n |
necesaria	n e c e s a r i a |
tentaciones	t e n t a c i o n e s |
abigarrada	a b i g a r r a d a |
muchedumbre	m u c h e d u m b r e |
hormiguea	h o r m i g u e a |
agita	a g i t a |
desata	d e s a t a |
entrepuente	e n t r e p u e n t e |
exactamente	e x a c t a m e n t e |
remes	r e m e s |
emoción	e m o c i ó n |
ahogaba	a h o g a b a |
avecina	a v e c i n a |
indiscreto	i n d i s c r e t o |
amistades	a m i s t a d e s |
gitano	g i t a n o |
pleitos	p l e i t o s |
ganes	g a n e s |
profesorado	p r o f e s o r a d o |
sobrecualificado	s o b r e c u a l i f i c a d o |
duradero	d u r a d e r o |
adelgazar	a d e l g a z a r |
carla	c a r l a |
virginia	v i r g i n i a |
estímulo	e s t í m u l o |
neurosensorial	n e u r o s e n s o r i a l |
intensidad	i n t e n s i d a d |
esperada	e s p e r a d a |
avión	a v i ó n |
tomarme	t o m a r m e |
despiertes	d e s p i e r t e s |
educados	e d u c a d o s |
demos	d e m o s |
vitrina	v i t r i n a |
indicada	i n d i c a d a |
recogiese	r e c o g i e s e |
litros	l i t r o s |
necias	n e c i a s |
oídos	o í d o s |
sordos	s o r d o s |
decirte	d e c i r t e |
acertaba	a c e r t a b a |
comprender	c o m p r e n d e r |
hallarme	h a l l a r m e |
recetas	r e c e t a s |
empalaga	e m p a l a g a |
complejo	c o m p l e j o |
provinciano	p r o v i n c i a n o |
examinen	e x a m i n e n |
comprueben	c o m p r u e b e n |
estática	e s t á t i c a |
edificada	e d i f i c a d a |
ayuno	a y u n o |
solícita	s o l í c i t a |
encajado	e n c a j a d o |
vídeos	v í d e o s |
alquilaba	a l q u i l a b a |
b	b |
alrededores	a l r e d e d o r e s |
ebro	e b r o |
fantásticos	f a n t á s t i c o s |
calambres	c a l a m b r e s |
escaparan	e s c a p a r a n |
arreemos	a r r e e m o s |
dobles	d o b l e s |
parejas	p a r e j a s |
usanza	u s a n z a |
majeza	m a j e z a |
continuó	c o n t i n u ó |
volumen	v o l u m e n |
caes	c a e s |
cuello	c u e l l o |
hacías	h a c í a s |
anunciabas	a n u n c i a b a s |
migraciones	m i g r a c i o n e s |
masivas	m a s i v a s |
volvamos	v o l v a m o s |
albo	a l b o |
hipil	h i p i l |
recamado	r e c a m a d o |
sedas	s e d a s |
vestidura	v e s t i d u r a |
indígena	i n d í g e n a |
semejante	s e m e j a n t e |
tunicela	t u n i c e l a |
respetáis	r e s p e t á i s |
daros	d a r o s |
harta	h a r t a |
emperador	e m p e r a d o r |
v	v |
bretaña	b r e t a ñ a |
cuernos	c u e r n o s |
cálida	c á l i d a |
húmeda	h ú m e d a |
ruleta	r u l e t a |
rusa	r u s a |
juventud	j u v e n t u d |
galana	g a l a n a |
contagio	c o n t a g i o |
propague	p r o p a g u e |
revisa	r e v i s a |
encontrarlo	e n c o n t r a r l o |
suspender	s u s p e n d e r |
castigarlo	c a s t i g a r l o |
válgame	v á l g a m e |
vinieron	v i n i e r o n |
documentos	d o c u m e n t o s |
falsos	f a l s o s |
mancebo	m a n c e b o |
jadeaba	j a d e a b a |
derribado	d e r r i b a d o |
pagó	p a g ó |
criados	c r i a d o s |
pensando	p e n s a n d o |
fingir	f i n g i r |
vegano	v e g a n o |
vegetariano	v e g e t a r i a n o |
distintas	d i s t i n t a s |
decatlon	d e c a t l o n |
echadle	e c h a d l e |
condenada	c o n d e n a d a |
aburría	a b u r r í a |
arrima	a r r i m a |
perseguíame	p e r s e g u í a m e |
mariposeo	m a r i p o s e o |
terco	t e r c o |
malvada	m a l v a d a |
columnas	c o l u m n a s |
partenón	p a r t e n ó n |
vivaces	v i v a c e s |
lagartos	l a g a r t o s |
saltaban	s a l t a b a n |
duendes	d u e n d e s |
enredadores	e n r e d a d o r e s |
burlescos	b u r l e s c o s |
traga	t r a g a |
demostrar	d e m o s t r a r |
entregado	e n t r e g a d o |
tendríamos	t e n d r í a m o s |
onzas	o n z a s |
trata	t r a t a |
predilecto	p r e d i l e c t o |
caíale	c a í a l e |
seno	s e n o |
alrededor	a l r e d e d o r |
cerrados	c e r r a d o s |
hermosa	h e r m o s a |
habríamos	h a b r í a m o s |
besan	b e s a n |
muerden	m u e r d e n |
afecte	a f e c t e |
inclinarse	i n c l i n a r s e |
indulgencia	i n d u l g e n c i a |
encontrarla	e n c o n t r a r l a |
enfurezcas	e n f u r e z c a s |
amarillas	a m a r i l l a s |
satisface	s a t i s f a c e |
antojico	a n t o j i c o |
celestino	c e l e s t i n o |
aranjuez	a r a n j u e z |
declararse	d e c l a r a r s e |
circunvala	c i r c u n v a l a |
buscaste	b u s c a s t e |
radiante	r a d i a n t e |
autorizan	a u t o r i z a n |
puntos	p u n t o s |
diario	d i a r i o |
ja	j a |
ríos	r í o s |
fenomenal	f e n o m e n a l |
actor	a c t o r |
tímida	t í m i d a |
absuelvan	a b s u e l v a n |
agrupados	a g r u p a d o s |
hospedería	h o s p e d e r í a |
imitaron	i m i t a r o n |
caliza	c a l i z a |
tranquilamente	t r a n q u i l a m e n t e |
farándula	f a r á n d u l a |
pintoresca	p i n t o r e s c a |
algarabía	a l g a r a b í a |
vértigo	v é r t i g o |
publicación	p u b l i c a c i ó n |
redacción	r e d a c c i ó n |
infecta	i n f e c t a |
bajarla	b a j a r l a |
cumplida	c u m p l i d a |
volvemos	v o l v e m o s |
montserrat	m o n t s e r r a t |
pasacalle	p a s a c a l l e |
centros	c e n t r o s |
terapia	t e r a p i a |
valerme	v a l e r m e |
naturaleza	n a t u r a l e z a |
lujuriosa	l u j u r i o s a |
pilotos	p i l o t o s |
aéreos	a é r e o s |
cumpliría	c u m p l i r í a |
mérito	m é r i t o |
mismos	m i s m o s |
echo	e c h o |
polo	p o l o |
insulta	i n s u l t a |
rincón	r i n c ó n |
venenosa	v e n e n o s a |
obteniendo	o b t e n i e n d o |
varas	v a r a s |
pancarta	p a n c a r t a |
conquistadores	c o n q u i s t a d o r e s |
insecto	i n s e c t o |
fueras	f u e r a s |
manzana	m a n z a n a |
ahorraría	a h o r r a r í a |
picas	p i c a s |
boyeros	b o y e r o s |
tentaban	t e n t a b a n |
vado	v a d o |
colaboración	c o l a b o r a c i ó n |
vaciar	v a c i a r |
papelera	p a p e l e r a |
